image,condition,ground_truth_tampered,predicted_tampered,severity,tamper_ratio
kodim22.png,global_brightness,True,False,,0.0013
kodim22.png,salt_pepper_2pct,True,True,high,0.9987
kodim23.png,untampered,False,False,,0.0
kodim23.png,paste_block_32,True,False,,0.0052
kodim23.png,copy_move_32,True,False,,0.0039
kodim23.png,blur_region_32,True,False,,0.0046
kodim23.png,splice_32,True,False,,0.0059
kodim23.png,paste_block_64,True,False,,0.0052
kodim23.png,copy_move_64,True,True,low,0.0156
kodim23.png,blur_region_64,True,True,low,0.0117
kodim23.png,splice_64,True,True,low,0.0156
kodim23.png,paste_block_128,True,True,low,0.0202
kodim23.png,copy_move_128,True,True,low,0.0514
kodim23.png,blur_region_128,True,True,low,0.0378
kodim23.png,splice_128,True,True,low,0.0514
kodim23.png,global_brightness,True,False,,0.0026
kodim23.png,salt_pepper_2pct,True,True,high,0.9961
kodim24.png,untampered,False,False,,0.0
kodim24.png,paste_block_32,True,False,,0.0052
kodim24.png,copy_move_32,True,False,,0.0039
kodim24.png,blur_region_32,True,False,,0.0026
kodim24.png,splice_32,True,False,,0.0059
kodim24.png,paste_block_64,True,True,low,0.0104
kodim24.png,copy_move_64,True,True,low,0.0156
kodim24.png,blur_region_64,True,True,low,0.0143
kodim24.png,splice_64,True,True,low,0.0163
kodim24.png,paste_block_128,True,True,low,0.0208
kodim24.png,copy_move_128,True,True,low,0.0527
kodim24.png,blur_region_128,True,True,low,0.0475
kodim24.png,splice_128,True,True,low,0.0469
kodim24.png,global_brightness,True,False,,0.002
kodim24.png,salt_pepper_2pct,True,True,high,0.9837
signal-2026-02-16-184150.png,untampered,False,False,,0.0
signal-2026-02-16-184150.png,paste_block_32,True,False,,0.0014
signal-2026-02-16-184150.png,copy_move_32,True,False,,0.0016
signal-2026-02-16-184150.png,blur_region_32,True,False,,0.0014
signal-2026-02-16-184150.png,splice_32,True,False,,0.0016
signal-2026-02-16-184150.png,paste_block_64,True,False,,0.0029
signal-2026-02-16-184150.png,copy_move_64,True,False,,0.0045
signal-2026-02-16-184150.png,blur_region_64,True,False,,0.0036
signal-2026-02-16-184150.png,splice_64,True,False,,0.0045
signal-2026-02-16-184150.png,paste_block_128,True,False,,0.0057
signal-2026-02-16-184150.png,copy_move_128,True,True,low,0.0145
signal-2026-02-16-184150.png,blur_region_128,True,True,low,0.0134
signal-2026-02-16-184150.png,splice_128,True,True,low,0.0145
